"","x"
"chr",-0.233055894087586
"adl",-0.0886377625215797
"phy",0.546656825232247
"cog",0.476761111652284
"soc",0.358560242280975
"hap",0
"men",0.442516789755964
"act",0.338545949517852
"alc",0.193900582320972
"smk",-0.0533305287040051
"age",-0.44302997764802
"edu",0.436025274633531
"fri",0.246713705118152
"inc",0.126139836204256
"dep",-0.271710685158784
"anx",-0.0977186169945809
"lon",0.0672940979725649
"com",0.278476642750169
"bmi",-0.203538547211732
